Filename,Prediction
FDIA1_0_image_1.png,Normal ✅
FDIA1_0_image_10.png,Normal ✅
FDIA1_0_image_100.png,Normal ✅
FDIA1_0_image_1000.png,Normal ✅
FDIA1_0_image_1001.png,Normal ✅
FDIA1_0_image_1002.png,Normal ✅
FDIA1_0_image_1003.png,Normal ✅
FDIA1_0_image_1004.png,Normal ✅
FDIA1_0_image_1005.png,Normal ✅
FDIA1_0_image_1006.png,Normal ✅
FDIA1_0_image_1007.png,Normal ✅
FDIA1_0_image_1008.png,Normal ✅
FDIA1_0_image_1009.png,Normal ✅
FDIA1_0_image_101.png,Normal ✅
FDIA1_0_image_1010.png,Normal ✅
FDIA1_0_image_1011.png,Normal ✅
FDIA1_0_image_1012.png,Normal ✅
FDIA1_0_image_1013.png,Normal ✅
FDIA1_0_image_1014.png,Normal ✅
FDIA1_0_image_1015.png,Normal ✅
FDIA1_0_image_1016.png,Normal ✅
FDIA1_0_image_1017.png,Normal ✅
FDIA1_0_image_1018.png,Normal ✅
FDIA1_0_image_1019.png,Normal ✅
FDIA1_0_image_102.png,Normal ✅
FDIA1_0_image_1020.png,Normal ✅
FDIA1_0_image_1021.png,Normal ✅
FDIA1_0_image_1022.png,Normal ✅
FDIA1_0_image_1023.png,Normal ✅
FDIA1_0_image_1024.png,Normal ✅
FDIA1_0_image_1025.png,Normal ✅
FDIA1_0_image_1026.png,Normal ✅
FDIA1_0_image_1027.png,Normal ✅
FDIA1_0_image_1028.png,Normal ✅
FDIA1_0_image_1029.png,Normal ✅
FDIA1_0_image_103.png,Normal ✅
FDIA1_0_image_1030.png,Normal ✅
FDIA1_0_image_1031.png,Normal ✅
FDIA1_0_image_1032.png,Normal ✅
FDIA1_0_image_1033.png,Normal ✅
FDIA1_0_image_1034.png,Normal ✅
FDIA1_0_image_1035.png,Normal ✅
FDIA1_0_image_1036.png,Normal ✅
FDIA1_0_image_1037.png,Normal ✅
FDIA1_0_image_1038.png,Normal ✅
FDIA1_0_image_1039.png,Normal ✅
FDIA1_0_image_104.png,Normal ✅
FDIA1_0_image_1040.png,Normal ✅
FDIA1_0_image_1041.png,Normal ✅
FDIA1_0_image_1042.png,Normal ✅
FDIA1_0_image_1043.png,Normal ✅
FDIA1_0_image_1044.png,Normal ✅
FDIA1_0_image_1045.png,Normal ✅
FDIA1_0_image_1046.png,Normal ✅
FDIA1_0_image_1047.png,Normal ✅
FDIA1_0_image_1048.png,Normal ✅
FDIA1_0_image_1049.png,Normal ✅
FDIA1_0_image_105.png,Normal ✅
FDIA1_0_image_1050.png,Normal ✅
FDIA1_0_image_1051.png,Normal ✅
FDIA1_0_image_1052.png,Normal ✅
FDIA1_0_image_1053.png,Normal ✅
FDIA1_0_image_1054.png,Normal ✅
FDIA1_0_image_1055.png,Normal ✅
FDIA1_0_image_1056.png,Normal ✅
FDIA1_0_image_1057.png,Normal ✅
FDIA1_0_image_1058.png,Normal ✅
FDIA1_0_image_1059.png,Normal ✅
FDIA1_0_image_106.png,Normal ✅
FDIA1_0_image_1060.png,Normal ✅
FDIA1_0_image_1061.png,Normal ✅
FDIA1_0_image_1062.png,Normal ✅
FDIA1_0_image_1063.png,Normal ✅
FDIA1_0_image_1064.png,Normal ✅
FDIA1_0_image_1065.png,Normal ✅
FDIA1_0_image_1066.png,Normal ✅
FDIA1_0_image_1067.png,Normal ✅
FDIA1_0_image_1068.png,Normal ✅
FDIA1_0_image_1069.png,Normal ✅
FDIA1_0_image_107.png,Normal ✅
FDIA1_0_image_1070.png,Normal ✅
FDIA1_0_image_1071.png,Normal ✅
FDIA1_0_image_1072.png,Normal ✅
FDIA1_0_image_1073.png,Normal ✅
FDIA1_0_image_1074.png,Normal ✅
FDIA1_0_image_1075.png,Normal ✅
FDIA1_0_image_1076.png,Normal ✅
FDIA1_0_image_1077.png,Normal ✅
FDIA1_0_image_1078.png,Normal ✅
FDIA1_0_image_1079.png,Normal ✅
FDIA1_0_image_108.png,Normal ✅
FDIA1_0_image_1080.png,Normal ✅
FDIA1_0_image_1081.png,Normal ✅
FDIA1_0_image_1082.png,Normal ✅
FDIA1_0_image_1083.png,Normal ✅
FDIA1_0_image_1084.png,Normal ✅
